Date,Adj Close,Close,High,Low,Open,Volume,Year,Month,Day
2019-05-14,-0.29486888267480127,-0.29486888267480127,-0.343531574646861,-0.44570694870819616,-0.40119410802738953,2.023376796749174,2019,5,14
2019-05-15,-0.20968514926411821,-0.20968514926411821,-0.22173532808588226,-0.3101451264122628,-0.33351294137351595,1.1235681458873907,2019,5,15
2019-05-16,-0.10016341675039919,-0.10016341675039919,-0.08344596410360396,-0.1616728653397942,-0.19878876056956668,1.2962463185643556,2019,5,16
2019-05-17,-0.16997556242021652,-0.16997556242021652,-0.13229131173799125,-0.16038177207895934,-0.16686360847116297,-0.22596614499943937,2019,5,17
2019-05-20,-0.19047084920590876,-0.19047084920590876,-0.23442247216396905,-0.27722311391909316,-0.21730540689041788,0.5395391512977824,2019,5,20
2019-05-21,-0.19623516362559534,-0.19623516362559534,-0.1988985168294195,-0.1616728653397942,-0.16558657301608698,-1.0277360698543248,2019,5,21
2019-05-22,-0.21224712143812802,-0.21224712143812802,-0.2597967609544971,-0.21008774907877817,-0.22624441052928534,-1.173526343366058,2019,5,22
2019-05-23,-0.2622043516748759,-0.2622043516748759,-0.27184941512165656,-0.24107324497726598,-0.24220698657848722,-1.0007630824005955,2019,5,23
2019-05-24,-0.19559479291345044,-0.19559479291345044,-0.24520662988762673,-0.21008774907877817,-0.21155886993515946,-1.1992825682942718,2019,5,24
2019-05-28,-0.2314614221368154,-0.2314614221368154,-0.22681028251965843,-0.2036325300132763,-0.1847416157488979,-0.80746801742067,2019,5,28
2019-05-29,-0.29614986812132826,-0.29614986812132826,-0.29595496514515196,-0.2974282406579392,-0.26008499385622214,-0.7505609700734964,2019,5,29
2019-05-30,-0.3051165254271695,-0.3051165254271695,-0.3168885470893003,-0.27464092739742346,-0.28881767990951945,0.30381055684411956,2019,5,30
2019-05-31,-0.26604730929541265,-0.26604730929541265,-0.24140041422088318,-0.2804507231290784,-0.21985923389240805,0.027945816706153783,2019,5,31
2019-06-03,-0.21224712143812802,-0.21224712143812802,-0.22363855739819663,-0.22687146699228644,-0.24578258828943533,-0.5340197846760352,2019,6,3
2019-06-04,-0.1161753745629319,-0.1161753745629319,-0.15829984875027017,-0.19717706435463347,-0.12983031519095795,0.046860943239163184,2019,6,4
2019-06-05,0.027932245749862313,0.027932245749862313,0.018050706411446526,-0.08098139244148757,-0.11003687668468991,0.4874055569353224,2019,6,5
2019-06-06,0.022808302042320636,0.022808302042320636,0.023759909066973613,0.0339231862108235,0.025964339574335346,-0.5511735836371449,2019,6,6
2019-06-07,-0.025867942107422312,-0.025867942107422312,0.018684954633197432,0.02424035728980499,0.02085619839253404,-0.8701695772145279,2019,6,7
2019-06-10,-0.12514203186877312,-0.12514203186877312,-0.04982523744701437,-0.07904487584680578,-0.03660892916739611,-0.9583210440980086,2019,6,10
